date,new_signups,active_users,conversion_rate,cac,ltv,churn_rate
2024-01-01,150,1200,3.5,250,1200,2.1
2024-02-01,180,1350,3.8,245,1250,2.0
2024-03-01,210,1520,4.0,240,1300,1.9
2024-04-01,195,1680,3.9,255,1350,1.8
2024-05-01,230,1850,4.2,235,1400,1.7
2024-06-01,250,2100,4.5,230,1450,1.6
2024-07-01,280,2350,4.6,225,1500,1.5
2024-08-01,310,2600,4.8,220,1550,1.4
2024-09-01,300,2850,4.7,225,1600,1.4
2024-10-01,340,3100,5.0,215,1650,1.3
2024-11-01,360,3400,5.1,210,1700,1.2
2024-12-01,400,3800,5.3,205,1750,1.1
