date,metric_name,value,segment,plan,region,domain,description
2025-01-15,Flow Velocity,356.7734,Mid-Market,Pro,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-01-15,Flow Velocity,363.3136,SMB,Enterprise,EMEA,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-01-15,Flow Velocity,323.8946,SMB,Basic,EMEA,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-02-14,Flow Velocity,404.3035,SMB,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-02-14,Flow Velocity,377.6045,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-02-14,Flow Velocity,362.4398,Enterprise,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-03-16,Flow Velocity,410.7102,Mid-Market,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-03-16,Flow Velocity,370.0498,Enterprise,Pro,EMEA,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-03-16,Flow Velocity,344.6116,Enterprise,Basic,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-04-15,Flow Velocity,406.9117,SMB,Basic,North America,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
2025-04-15,Flow Velocity,342.3309,Enterprise,Pro,APAC,"Operations [Inferred] (The metric's core focus on ""throughput capacity"" and","The number of completed work items over a period, indicating throughput"
