date,metric_name,value,segment,plan,region,domain,description
2025-01-15,Perceived Value Delivered Score,594.4347,Mid-Market,Basic,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-01-15,Perceived Value Delivered Score,620.2806,Mid-Market,Enterprise,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-01-15,Perceived Value Delivered Score,540.7016,Enterprise,Enterprise,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-02-14,Perceived Value Delivered Score,622.6175,Mid-Market,Enterprise,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-02-14,Perceived Value Delivered Score,461.4113,SMB,Enterprise,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-02-14,Perceived Value Delivered Score,485.5518,SMB,Basic,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-03-16,Perceived Value Delivered Score,436.8316,SMB,Pro,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-03-16,Perceived Value Delivered Score,454.406,Enterprise,Pro,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-03-16,Perceived Value Delivered Score,436.0007,Mid-Market,Enterprise,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-04-15,Perceived Value Delivered Score,629.1107,Enterprise,Enterprise,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-04-15,Perceived Value Delivered Score,666.0491,SMB,Enterprise,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-04-15,Perceived Value Delivered Score,451.8803,Enterprise,Pro,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-05-15,Perceived Value Delivered Score,503.0416,SMB,Pro,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-05-15,Perceived Value Delivered Score,516.0892,Mid-Market,Enterprise,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-05-15,Perceived Value Delivered Score,653.5153,Mid-Market,Basic,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-06-14,Perceived Value Delivered Score,662.8316,Enterprise,Pro,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-06-14,Perceived Value Delivered Score,645.2686,Mid-Market,Basic,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-06-14,Perceived Value Delivered Score,566.176,Mid-Market,Pro,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-07-14,Perceived Value Delivered Score,697.1754,SMB,Basic,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-07-14,Perceived Value Delivered Score,598.4824,Enterprise,Enterprise,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-07-14,Perceived Value Delivered Score,566.9566,Mid-Market,Basic,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-08-13,Perceived Value Delivered Score,639.1874,SMB,Basic,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-08-13,Perceived Value Delivered Score,560.1533,Mid-Market,Basic,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-08-13,Perceived Value Delivered Score,583.9899,SMB,Pro,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-09-12,Perceived Value Delivered Score,615.0333,Enterprise,Basic,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-09-12,Perceived Value Delivered Score,524.4216,Mid-Market,Enterprise,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-09-12,Perceived Value Delivered Score,437.1987,Enterprise,Basic,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-10-12,Perceived Value Delivered Score,437.9415,SMB,Pro,EMEA,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-10-12,Perceived Value Delivered Score,434.1015,Mid-Market,Pro,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-10-12,Perceived Value Delivered Score,523.9205,Enterprise,Pro,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-11-11,Perceived Value Delivered Score,612.9165,Enterprise,Basic,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-11-11,Perceived Value Delivered Score,679.9369,Enterprise,Enterprise,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-11-11,Perceived Value Delivered Score,462.3055,Enterprise,Enterprise,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-12-11,Perceived Value Delivered Score,555.1277,Mid-Market,Basic,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-12-11,Perceived Value Delivered Score,490.3572,Enterprise,Enterprise,APAC,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-12-11,Perceived Value Delivered Score,469.6224,Mid-Market,Basic,North America,Outcome & Impact [Inferred] (The metric's focus on perceived value delivery,
2025-01-15,Rhythm Readiness & Communica=on Index,0.1417,Enterprise,Basic,EMEA,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-01-15,Rhythm Readiness & Communica=on Index,0.1274,Enterprise,Enterprise,APAC,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-01-15,Rhythm Readiness & Communica=on Index,0.1325,SMB,Basic,APAC,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-02-14,Rhythm Readiness & Communica=on Index,0.1308,SMB,Basic,North America,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-02-14,Rhythm Readiness & Communica=on Index,0.1418,Enterprise,Pro,EMEA,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-02-14,Rhythm Readiness & Communica=on Index,0.1175,Mid-Market,Basic,North America,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-03-16,Rhythm Readiness & Communica=on Index,0.103,Mid-Market,Pro,North America,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-03-16,Rhythm Readiness & Communica=on Index,0.1062,Enterprise,Pro,APAC,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-03-16,Rhythm Readiness & Communica=on Index,0.1129,Enterprise,Basic,APAC,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-04-15,Rhythm Readiness & Communica=on Index,0.1044,Enterprise,Enterprise,North America,System Health [Inferred] (It assesses how well the overall organiza=onal system,
2025-04-15,Rhythm Readiness & Communica=on Index,0.1173,Enterprise,Enterprise,North America,System Health [Inferred] (It assesses how well the overall organiza=onal system,
